Year,Month,State,County,Rate
1994,January,Oregon,Clatsop County,10.1
1994,January,Oregon,Benton County,3.4
1994,January,Oregon,Union County,8.3
1994,January,Oregon,Coos County,10.9
1994,January,Oregon,Lake County,12.5
1994,January,Oregon,Washington County,4.8
1994,January,Oregon,Douglas County,12.2
1994,January,Oregon,Clackamas County,4.8
1994,January,Oregon,Sherman County,9.0
1994,January,Oregon,Crook County,10.5
1994,January,Oregon,Gilliam County,5.4
1994,January,Oregon,Harney County,11.6
1994,January,Oregon,Deschutes County,10.1
1994,January,Oregon,Columbia County,9.2
1994,January,Oregon,Wheeler County,17.8
1994,January,Oregon,Grant County,13.8
1994,January,Oregon,Wallowa County,12.2
1994,January,Oregon,Lane County,7.3
1994,January,Oregon,Multnomah County,6.2
1994,June,Oregon,Polk County,4.4
1994,June,Oregon,Yamhill County,4.6
1994,June,Oregon,Jefferson County,6.3
1994,June,Oregon,Josephine County,8.8
1994,June,Oregon,Hood River County,10.1
1994,June,Oregon,Klamath County,7.9
1994,June,Oregon,Baker County,6.8
1994,June,Oregon,Curry County,6.6
1994,June,Oregon,Linn County,6.7
1994,June,Oregon,Umatilla County,6.3
1994,June,Oregon,Lincoln County,5.2
1994,June,Oregon,Jackson County,7.2
1994,June,Oregon,Marion County,5.3
1994,June,Oregon,Tillamook County,4.5
1994,June,Oregon,Wasco County,5.0
1994,June,Oregon,Morrow County,8.2
1994,June,Oregon,Malheur County,6.8
1994,June,Oregon,Clatsop County,5.7
1994,June,Oregon,Benton County,2.6
1994,June,Oregon,Union County,5.8
1994,June,Oregon,Coos County,8.5
1994,June,Oregon,Lake County,6.8
1994,June,Oregon,Washington County,3.8
1994,June,Oregon,Douglas County,8.8
1994,June,Oregon,Clackamas County,3.9
1994,June,Oregon,Sherman County,5.4
1994,June,Oregon,Crook County,6.8
1994,June,Oregon,Gilliam County,3.7
1994,June,Oregon,Harney County,10.8
1994,June,Oregon,Deschutes County,6.6
1994,June,Oregon,Columbia County,6.9
1994,June,Oregon,Wheeler County,7.5
1994,June,Oregon,Grant County,6.6
1994,June,Oregon,Wallowa County,7.8
1994,June,Oregon,Lane County,5.4
1994,June,Oregon,Multnomah County,4.8
1994,September,Oregon,Polk County,3.5
1994,September,Oregon,Yamhill County,3.9
1994,September,Oregon,Jefferson County,4.5
1994,September,Oregon,Josephine County,7.6
1994,September,Oregon,Hood River County,3.6
1994,September,Oregon,Klamath County,6.5
1994,September,Oregon,Baker County,5.3
1994,September,Oregon,Curry County,5.2
1994,September,Oregon,Linn County,5.2
1994,September,Oregon,Umatilla County,4.2
1994,September,Oregon,Lincoln County,4.6
1994,September,Oregon,Jackson County,5.2
1994,September,Oregon,Marion County,4.0
1994,September,Oregon,Tillamook County,3.4
1994,September,Oregon,Wasco County,5.0
1994,September,Oregon,Morrow County,5.3
1994,September,Oregon,Malheur County,3.5
1994,September,Oregon,Clatsop County,4.6
1994,September,Oregon,Benton County,2.0
1994,September,Oregon,Union County,4.1
1994,September,Oregon,Coos County,7.0
1994,September,Oregon,Lake County,4.8
1994,September,Oregon,Washington County,3.3
1994,September,Oregon,Douglas County,7.2
1994,September,Oregon,Clackamas County,3.1
1994,September,Oregon,Sherman County,6.0
1994,September,Oregon,Crook County,6.0
1994,September,Oregon,Gilliam County,3.6
1994,September,Oregon,Harney County,6.5
1994,September,Oregon,Deschutes County,5.3
1994,September,Oregon,Columbia County,5.0
1994,September,Oregon,Wheeler County,6.6
1994,September,Oregon,Grant County,5.2
1994,September,Oregon,Wallowa County,4.7
1994,September,Oregon,Lane County,4.3
1994,September,Oregon,Multnomah County,4.1
1994,April,Oregon,Polk County,5.2
1994,April,Oregon,Yamhill County,4.3
1994,April,Oregon,Jefferson County,6.4
1994,April,Oregon,Josephine County,9.4
1994,April,Oregon,Hood River County,8.8
1994,April,Oregon,Klamath County,9.8
1994,April,Oregon,Baker County,9.7
1994,April,Oregon,Curry County,8.0
1994,April,Oregon,Linn County,8.1
1994,April,Oregon,Umatilla County,7.6
1994,April,Oregon,Lincoln County,6.2
1994,April,Oregon,Jackson County,7.1
1994,April,Oregon,Marion County,6.1
1994,April,Oregon,Tillamook County,5.5
1994,April,Oregon,Wasco County,8.2
1994,April,Oregon,Morrow County,8.0
1994,April,Oregon,Malheur County,9.2
1994,April,Oregon,Clatsop County,6.8
1994,April,Oregon,Benton County,3.2
1994,April,Oregon,Union County,8.7
1994,April,Oregon,Coos County,9.4
1994,April,Oregon,Lake County,10.2
1994,April,Oregon,Washington County,4.0
1994,April,Oregon,Douglas County,10.2
1994,April,Oregon,Clackamas County,4.0
1994,April,Oregon,Sherman County,5.3
1994,April,Oregon,Crook County,8.3
1994,April,Oregon,Gilliam County,4.5
1994,April,Oregon,Harney County,13.9
1994,April,Oregon,Deschutes County,7.7
1994,April,Oregon,Columbia County,7.5
1994,April,Oregon,Wheeler County,15.2
1994,April,Oregon,Grant County,15.4
1994,April,Oregon,Wallowa County,13.6
1994,April,Oregon,Lane County,5.9
1994,April,Oregon,Multnomah County,5.1
1994,December,Oregon,Polk County,3.9
1994,December,Oregon,Yamhill County,3.7
1994,December,Oregon,Jefferson County,6.3
1994,December,Oregon,Josephine County,8.0
1994,December,Oregon,Hood River County,6.7
1994,December,Oregon,Klamath County,7.5
1994,December,Oregon,Baker County,7.9
1994,December,Oregon,Curry County,7.8
1994,December,Oregon,Linn County,5.9
1994,December,Oregon,Umatilla County,6.7
1994,December,Oregon,Lincoln County,6.1
1994,December,Oregon,Jackson County,5.2
1994,December,Oregon,Marion County,4.7
1994,December,Oregon,Tillamook County,5.2
1994,December,Oregon,Wasco County,8.0
1994,December,Oregon,Morrow County,6.9
1994,December,Oregon,Malheur County,5.8
1994,December,Oregon,Clatsop County,6.0
1994,December,Oregon,Benton County,1.7
1994,December,Oregon,Union County,5.8
1994,December,Oregon,Coos County,7.0
1994,December,Oregon,Lake County,8.1
1994,December,Oregon,Washington County,2.9
1994,December,Oregon,Douglas County,7.3
1994,December,Oregon,Clackamas County,2.9
1994,December,Oregon,Sherman County,6.9
1994,December,Oregon,Crook County,7.2
1994,December,Oregon,Gilliam County,2.9
1994,December,Oregon,Harney County,8.4
1994,December,Oregon,Deschutes County,6.1
1994,December,Oregon,Columbia County,4.8
1994,December,Oregon,Wheeler County,7.8
1994,December,Oregon,Grant County,10.0
1994,December,Oregon,Wallowa County,11.3
1994,December,Oregon,Lane County,4.7
1994,December,Oregon,Multnomah County,3.8
1994,July,Oregon,Polk County,4.3
1994,July,Oregon,Yamhill County,4.5
1994,July,Oregon,Jefferson County,5.5
1994,July,Oregon,Josephine County,8.7
1994,July,Oregon,Hood River County,8.0
1994,July,Oregon,Klamath County,7.3
